idorganization,passwordhash,name,abbreviation,juridicalentity_idjuridicalentity,street,streetnumber,postal,city,province_idprovince,telnr,faxnr,url,organizationtypeother,goal,organizationkeywordother,remark,active,datecreated,email
42,,Brusselse Welzijn - en Gezondheidsraad,BWR,1,Leopold II Laan,204 bus 1,108,Molenbeek,6,,,,,Pluralistisch coördinatieorgaan voor de Nederlandstalige welzijns- en gezondheidszorg in Brussel,NULL,,1,1/20/2009 16:53,
43,,Buurtsport Brussel,,1,Hovenierstraat,101,1081,brussel,6,,,www.buurtsportbrusse.be,,Sportvereniging,NULL,,1,1/20/2009 16:58,
44,,Centrum Geestelijke Gezondheidszorg Brussel,CGGZ,1,R. Vandendriesschelaan,11,1150,Brussel,6,,,,,"Vereniging voor ouderen,welzijnsorganisatie,overheidsinstelling,geestelijke gezondheidszorg.Het CGGZ Brussel is een vzw die kinderen, jongeren, volwassen en ouderen met psychische of psychiatrische problemen ambulant begeleidt en behandelt.Naast basishulpverlening worden er ook projecten rond specifieke doelgroepen en themata opgezet.Bv.rond ouderen, depressie, dementie",NULL,,1,1/21/2009 09:19,
45,,Centrum Preventie Zelfmoord,,1,Arteveldestraat,42,1000,Brussel,6,,,http://www.zelfmoordpreventie.be,,Het Centrum ter Preventi van Zelfmoord vzw is een pluralistische vereniging met als basisdoel het voorkomen van zelfdoding.De organisatie moet gesitueerd worden binnen de sector geestelijke gezondheidszorg.,NULL,,1,1/21/2009 09:57,
46,,Centrum West,,1,Menenstraat,24,1080,Sint-Jans- Molenbeek,6,,,,,"Centrum West is een werking met maatschappelijk kwetsbare kinderen en jongeren (WMKJ). De WMKJ’s richten zich specifiek tot jongeren die weinig kansen krijgen om hun vrije tijd op een zinvolle manier in te vullen. Centrum West is gebaseerd op het jeugdhuismodel, maar beschikt over meer middelen en personeel. WMKJ’s organiseren een waaier aan activiteiten: projecten, ateliers, sport, animaties, uitstappen, vormingen… Op een professionele manier begeleiden de WMKJ’s de jongeren op hun weg naar emancipatie, participatie en zelforganisatie. Volgens Centrum West kan men als jeugdhuis niet emanciperend werken, enkel via vrijetijdsactiviteiten. Er is meer nodig dan dat.",NULL,,1,1/21/2009 10:04,
47,,Chirojeugd Vlaanderen,,1,Kipdorp,30,2000,Antwerep,1,,,www.chiro.be,,"De Chiro heeft al zo‘n 20 jaar een bekendmakingsactie met affiches, folders e.a. Het ledencijfer is al een aantal jaren stabiel, maar er zijn toch wat bedenkingen. Om de bekendmaking beter af te stemmen op de doelgroep wil de Chiro starten met een imago-onderzoek bij de verschillende doelgroepen",NULL,,0,1/21/2009 10:15,
48,,De krijtkring,,1,Delaunoystraat,48,1080,Brussel,6,,,http://met-x.wieni.be,,"De Krijtkring is een muziekeducatieve organisatie (erkend door het ministerie van de Vlaamse Gemeenschap – dienst muziek) met Brussel als uitvalsbasis. Een productiehuis voor grootstedelijke muziek, met een aantal muziekmakers die een nieuwe muziekcultuur ontwikkelen, door de universele elementen uit de veelheid aan culturen te vertalen naar de eigen culturele context. De uitgangspunten worden tastbaar in de producties, die het resultaat zijn van intensieve educatieve werksessies. Het is evident dat daarbij zowel bij spelers als bij toeschouwers naar een maximale diversificatie in achtergrond en cultuur wordt gestreefd.",NULL,NULL,1,1/21/2009 10:24,
49,,De Zandloper,,1,Kaasmarkt,75,1780,Wemmel,6,,,http://www.dezandloper.be,,De Zandloper is een gemeenschapscentrum gevestigd in Wemmel en maakt deel uit van Vzw ‘de Rand’. GC de zandloper brengt de opdracht van vzw ‘de Rand’ lokaal (Wemmel en omgeving) in de praktijk via: - Ondersteuning en organisatie van een complementair en gediversifieerd vrijetijdsaanbod op maat. - Bevordering van het Nederlandstalig gemeenschapsleven en maatschappelijke participatie. - Een kwaliteitsvolle en professionele uitstraling van het Nederlandse culturele leven - Gerichte informatiespreiding. - Acties die de positie van het Nederlands versterken . - Acties die een positief beeld van Vlaanderen en de Vlaamse Gemeenschap versterken,NULL,,1,1/21/2009 10:46,
50,,Debra Belgium,,1,Rue Piralewe,1,4600,Lanaye (Ternaaien),3,,,http://www.debra-belgium.org,,"Debra Belgium is een patiëntenvereniging voor de zeldzame, erfelijke en ongeneeslijke huidziekte EB (Epidermolysis Bullosa). Debra staat voor Dystrophic Epidermolysis Bullosa Research Association. De organisatie in België bestaat uit een 6-tal vrijwilligers en kadert in een wereldwijd vertakte Debra-vereniging. Debra Belgium is opgericht in 1998 naar aanleiding van een ophefmakende TV-reportage. Dankzij die reportage vonden enkele Belgische patiënten elkaar. Ondertussen verenigt de organisatie een 60-tal patiënten in België. Het doel van de organisatie is 5-ledig: 1) belangenverdediging: ijveren voor eerlijke en toegankelijke sociale zekerheid en terugbetaling van ziektekosten voor alle EB-patiënten in België, 2) lotgenotencontact, 3) correcte informatie voor patiënten, familie en hulpverleners, 4) gespecialiseerde hulpverlening: opleiding van gespecialiseerde verpleegkundigen oprichting van multidisciplinaire EB-centra aandacht voor psychosociale gevolgen van de aandoening, 5) wetenschappelijk onderzoek ",NULL,provincie Luik (verhuisd),1,1/21/2009 10:52,
51,,Den Teirling,,1,Maesstraat,89,1050,Brussel,6,,,http://denteirling.vgc.be,,"Den Teirling is een dagactiviteitencentrum voor personen met een psychiatrische problematiek. Wie kan er terecht? Personen die het, vanwege hun psychiatrische problematiek, niet aankunnen in het gewone arbeids- of recreatieve circuit. Zij die een invulling van de dag zoeken, graag eens andere mensen ontmoeten. De bezoekers van Den Teirling zijn mensen met een verleden van opnames, behandeling, verzorging. (Per dag komen 15 à 25 mensen over de vloer.) Het opnemen van een bezigheid vanuit een min of meer zelfstandige leefsituatie is niet evident. Een stimulans van buitenaf blijft belangrijk. Eens de weg gevonden naar het clubhuis, komt het proces van activering vanzelf op gang",NULL,,1,1/21/2009 10:57,
52,,Ecolife,,1,Valkerijgang 26,26,3000,Leuven,2,,,http://www.ecolife.be,,"Ecolife is een maatschappelijke milieuorganisatie die streeft naar een duurzame wereld door middel van ecologische gedragsverandering bij diverse doelgroepen. Ecolife ontwikkelt en implementeert hiervoor procesmatige actiemodellen, projecten en campagnes.",NULL,NULL,1,1/21/2009 11:02,
53,,Vlaams Onafhankelijk Zorgnetwerk vzw,,1,De Keyserlei,5 bus 58,2018,Antwerpen,1,,,www.vlozo.be,,Het Vlaams Onafhankelijk Zorgnetwerk verdedigt  al meer dan 20 jaar de belangen van ondernemers in de ouderenzorg eerst onder de naam “Federatie Onafhankelijke Seniorenzorg (FOS)”. ,NULL,,1,1/21/2009 11:14,
54,,Forum van Etnisch-Culturele minderheden,,1,Vooruitgangsstraat,323/4,1030,Brussel,6,,,http://www.minderhedenforum.be/,,"Het Forum voor Etnisch-Culturele Minderheden is een koepel van verenigingen van etnisch-culturele minderheden. Dit zijn allochtonen, vluchtelingen en woonwagenbewoners. Gedragen door de basis van het verenigingsleven, vervult het Forum het woordvoerderschap van deze groepen. Het Minderhedenforum ontwikkelt gezamenlijke visies en standpunten en is de erkende gesprekspartner van de overheid voor alle materies die de etnisch-culturele minderheden aanbelangen",NULL,NULL,1,1/21/2009 11:20,
55,,Grip vzw,,1,Koningsstraa,136,1000,Brussel,6,,,http://www.gripvzw.be/,,"Vzw GRIP (Gelijke Rechten voor Iedere Persoon met een Handicap); Vzw GRIP is een burgerrechtenorganisatie. Hun doel is gelijke rechten én kansen bewerkstelligen voor iedereen. Ze richten zich in de eerste plaats tot een achtergestelde groep, mensen met een handicap. Vzw Grip wil het beleid beïnvloeden en voeden en de ruimere samenleving correct informeren. Een tweede belangrijke pijler van GRIP is sensibilisatie. Daarnaast hecht de vzw erg veel belang aan de positieve beeldvorming in plaats van de dikwijls éénzijdige invalshoek van verzorging en afhankelijkheid. Tenslotte zal de vzw op termijn personen met een handicap en hun omgeving ook juridisch ondersteunen en zo discriminatie bestrijden.",NULL,NULL,1,1/21/2009 11:34,
56,,Het Punt,,1,Treurenberg,24,1000,Brussel,6,,,,,"Het Punt vzw is een vrijwilligerswinkel in het centrum van de stad en staat in voor de promotie van vrijwilligerswerk, voor de ondersteuning van organisaties bij de uitbouw van hun vrijwilligerswerking, voor het geven van vorming en het uitgeven van geschikt publicatiemateriaal voor de organisaties en de vrijwilligers. Hun personeelsbestand bestaat uit: 2 Halftijds en 1 personeelslid met een GEKO-statuut. Het Punt is een vzw van het Brussels Gewest. Collega’s zijn: het Vlaams Steunpunt en de steunpunten per provincie. De leden van het Punt zijn de vrijwilligersorganisaties uit het Brussels Gewest. Meer info: http://hetpunt.vgc.be/ http://www.vrijwilligerswerk.be ",NULL,,1,1/21/2009 11:46,
57,,Huntington Liga,,1,Flanelstraat,30,9030,Gent,4,,,http://www.huntingtonliga.be/,,"De Huntington Liga is op september 1974 opgericht. Het is een vereniging van patiënten met de ziekte van Huntington, risicodragers, partners, familieleden en overige betrokkenen.

De Liga steunt voor een belangrijk deel op haar regiovertegenwoordigers. 

",NULL,NULL,1,1/21/2009 11:53,
58,,In Petto Jeugddienst Informatie en Preventie,,1,Diksmuidelaan,50,2600,Berchem,1,,,http://www.inpetto-jeugddienst.be/,,"In Petto is een organisatie die het welzijn van jonge mensen centraal stelt. Informatie en participatie zijn hierin cruciale elementen. Immers door beide elementen kan het mogelijke on-welzijn van jongeren omgebogen worden tot welzijn. In Petto doet dit door jongeren te bevragen. Op basis van deze bevraging worden een publicatie en een vormingsproduct gemaakt, die aan professionele jeugdwerkers worden aangeboden. Daarnaast is In Petto ook de Vlaamse coördinator van het project Jeugdadviseurs (peerproject). Bij alles wat In Petto doet, staat de participatie van jongeren, het belang van leeftijdsgenoten en de welzijnsbevordering centraal. ",NULL,NULL,1,1/21/2009 11:58,
59,,Jeugddienst voor Maatschappelijke Participatie,Jemp vzw,1,Apostelstraat,20,2000,Antwerpen,1,,,http://www.jemp.be/,,Jemp vzw ondersteunt lokale jeugdraden in de 5 Vlaamse provincies,NULL,NULL,1,1/21/2009 12:15,
60,,KAOS & Co Gezinsplaatsing,,1,Stuivenbergvaart,76,2800,Mechelen,1,,,,,KAOS is een pleeggezinnendienst die kinderen tussen 0 en 18 jaar plaatst in pleeggezinnen indien zij zich in een problematische opvoedingssituatie bevinden.,NULL,NULL,1,1/21/2009 12:19,
61,,Kleur Bekennen,,1,Hoogstraat,47,1000,Brussel,6,,,www.kleurbekennen.be,,"Kleur Bekennen kadert in een samenwerking van de Belgische Technische Coöperatie met de Minister van Ontwikkelingssamenwerking, DGOS, de Vlaamse provincies en de Vlaamse Gemeenschapscommissie.  

Kleur Bekennen fungeert als intermediair tussen het onderwijs enerzijds en educatieve organisaties die projecten rond mondiale vorming aanbieden anderzijds en is een educatief programma om mondiale vorming en actief wereldburgerschap in het onderwijs te promoten, stimuleren en ondersteunen.

",NULL,NULL,1,1/21/2009 12:24,
62,,Limburgs Steunpunt Straathoekwerker,LISS,1,Europalaan,62,3600,Genk,3,,,www.straathoekwerk.be www.hangsite.be,,"LiSS is een welzijnsorganisatie, een jongerenorganisatie.

De doelstellingen van LiSS zijn:

- bewaren en bewaken van de straathoekmethodiek en uitbouwen/ondersteunen van straathoekwerkprojecten

- informeren, adviseren en begeleiden van lokale besturen in functie van het werken met rondhangende jongeren





",NULL,NULL,1,1/21/2009 12:28,
63,,Maaseik-stadsbestuur,,1,Lekkerstraat,10,3680,Maaseik,3,,,,,Overheidsinstelling: dienst ouderen + dienst buurtwerk. De dienst ouderen wil een lokaal ouderenbeleid uitwerken dat ten dienste van alle senioren staat. De buurtwerking wil in de sociale woonwijken de sociale cohesie vergroten.,NULL,NULL,1,1/21/2009 12:32,
64,,Muziekcentrum Vlaanderen,,1,Steenstraat,25,1000,Brussel,6,,,www.muziekcentrum.be,,"Wie zijn we en wat doen we?

Het Muziekcentrum Vlaanderen is het officiële onafhankelijke steunpunt voor de professionele muzieksector in Vlaanderen (dus geen belangenvereniging). Het centrum werd opgericht in het kader van het Muziekdecreet van 1998 van de Vlaamse gemeenschap. Voor de werking grotendeels gesubsidieerd door de Vlaamse Gemeenschap (beheersovereenkomst en decretaal)..

Het is een onafhankelijke organisatie, gevestigd in het centrum van Brussel. 



Het Muziekcentrum Vlaanderen werkt op vier grote terreinen:

- Informatie over en voor de muzieksector 

Het Muziekcentrum Vlaanderen is een eerstelijns aanspreekpunt voor relevante informatie zowel over als voor de muzieksector. In de eerste plaats gaat het om beleidsinformatie en regelgeving inzake muziek, maar ook beschrijvende en praktische informatie over Vlaamse artiesten, groepen, ensembles, componisten, organisaties.. en zakelijke/beroepsgerelateerde info voor muzikanten. We pretenderen niet noodzakelijk alle informatie zelf in huis te hebben, maar veeleer de bestaande informatie in kaart te brengen en je op weg te helpen naar de juiste instanties, informatieverstrekkers of bronnen. Daar waar we lacunes in informatie vaststellen, is het onze taak deze te signaleren en mee te helpen ze op een geschikte manier in te vullen.



- Begeleiding en ondersteuning van de muzieksector 

Muziekcentrum Vlaanderen geeft geen individuele begeleiding aan muzikanten, maar werkt aan overkoepelende begeleidingstrajecten voor verschillende deelgroepen van de muzieksector. Zo heeft het Muziekcentrum ondermeer een actieve rol gespeeld in de oprichting van een Vlaamse componistenvereniging en een Vlaamse muziekmanagersvereniging, het Kunstenloket (juridisch/sociaal advies voor kunstenaars), Gouden Vleugels (begeleidingstraject voor jong klassiek talent) en meer recent MuziekZaken (zakelijk advies). Muziekcentrum Vlaanderen probeert op die manier de deskundigheid binnen de sector te bevorderen en een bijdrage te leveren aan de continue ontwikkeling van het veld.



- Overleg met en over de muzieksector 

Muziekcentrum Vlaanderen pleegt op voortdurende basis overleg, niet alleen tussen de overheid en de muzieksector, maar ook tussen de verschillende actoren binnen (platenfirma‘s, muzikanten, componisten, concert/festivalorganisatoren..) en buiten (diverse beleidsinstanties, andere steunpunten, media..) het veld. Noden worden in kaart gebracht, kennis en ervaringen worden verzameld, gedeeld en uitgewisseld.



- Acties & campagnes rond professioneel muziektalent uit Vlaanderen

Muziekcentrum Vlaanderen organiseert en steunt activiteiten en initiatieven die de kennis over de sector bevorderen bij de publieke opinie, de overheid en in het buitenland. Voorbeelden hiervan zijn ondermeer Popgrond, de Residentieconcerten, het Muziekjaarboek, de ZaMu Music Awards, de Flemish Jazz Meeting, de publicatie van talrijke promo-compilaties, brochures en gidsen, showcases in het buitenland, de aanwezigheid op verschillende internationale muziekbeurzen...



Voor wie?

Op deze vier terreinen richt het Muziekcentrum zich voornamelijk tot wie op een beroepsmatige wijze met muziek bezig is. Het Muziekcentrum maakt daarbij geen onderscheid in muziekgenres.

",NULL,,1,1/21/2009 12:36,
65,,Nationaal Jenevermuseum Hasselt,,1,Witte Nonnenstraat,19,3500,Hasselt,3,,,www.jenermuseum.be,,"Het Nationaal Jenevermuseum Hasselt wilt op een wetenschappelijk verantwoorde manier het productieproces van jenever en ander gedistilleerd, de geschiedenis van de Belgische jenever en zijn industrie in hun maatschappelijke context evoceren op een wijze die toegankelijk is voor een breed publiek. Dit gebouw is het eerste industrieel architecturaal gebouw in Vlaanderen dat erkend en beschermd werd door het gewest. Het museum werd regionaal erkend door de Vlaamse Gemeenschap.",NULL,NULL,1,1/21/2009 13:35,
66,,Oikoten,,1,Lipsestraat,175,3150,Tildonk,2,,,www.oikoten.be,,"Oikoten is een welzijnsorganisatie te situeren binnen de sector van de Bijzondere Jeugdzorg.

De werking van Oikoten is 3-ledig:

1/ Herstelbemiddeling in het arrondissement Leuven. Oikoten zet bemiddelingen op tussen minderjarige daders en hun slachtoffers. Dit initiatief is een samenwerkingsverband met o.a. de stad Leuven, het parket, de jeugdrechtbank en Suggnomé (herstelbemiddeling meerderjarigen). 

2/ Korte (crisis)-onthemingstochten: Dit zijn tochten van 1 week voor jongeren ‘in crisis’ (1 jongere met 1 begeleider). Na de korte tocht gaan de jongeren opnieuw naar de instelling. Op jaarbasis worden er 12 van dergelijke korte tochten georganiseerd.

3/ Langdurige onthemende tochten:

a) Tochten van 3 à 4 maanden door 1 jongere met 1 begeleider.

b) Werkprojecten waar een jongere gedurende enkele maanden in het Zuiden van Frankrijk, individueel op een boerderij gaat werken



Oikoten is de enige organisatie in België die dergelijke tochten organiseert.",NULL,NULL,1,1/21/2009 13:43,
67,,Open Doek vzw,,1,Zirkstraat,36,2000,Antwerpen,1,,,www.opendoek-vzw.be,,Open Doek is de overkoepelende vereniging voor amateurtheater en is ontstaan uit een fusie van vele verschillende toneelfederaties. ,NULL,NULL,1,1/21/2009 13:48,
68,,Oudstudentenbond VUB- Alumni,OSB,1,Triomflaan,40,1160,Oudergem,6,,,www.osb.be,,"De Oudstudentenbond VUB-Alumni is een vzw met verschillende doelstellingen. De vereniging wil de broederlijke banden onder alle oud-studenten van de VUB nauwer aan te halen en beheert dus het alumnibestand. Zij heeft ook tot doel bij te dragen tot de ontwikkeling en de verdere uitbouw van de VUB. Verder zet zij zich ten volle in bij het verdedigen van het Principe van het Vrij Onderzoek, dat aan de grondslag ligt van de VUB.



De activiteiten die de OSB organiseert of waaraan zij haar medewerking verleent zijn zeer verscheiden: een motoweekend, voordrachten, concerten, bezoeken aan tentoonstellingen en andere cultureel-informatieve activiteiten.



",NULL,,1,1/21/2009 13:54,
69,,Payoke,,1,Leguit,4,2000,Antwerpen,1,,,www.payoke.be,,"Payoke bestrijdt mensenhandel en begeleidt slachtoffers van mensenhandel via:

1. juridische ondersteuning

2. residentiële opvang

3. administratieve ondersteuning

4. informatie en vorming 

5. psychosociale begeleiding

6. ambulante begeleiding",NULL,NULL,1,1/21/2009 13:59,
70,,Platform for International Cooperation on Undocumented Migrants,Picum,1,Gaucheretstraat,164,1030,Brussel,6,,,www.picum.org,,"PICUM (Platform for International Cooperation on Undocumented Migrants) is een netwerk van organisaties die hulp verlenen aan mensen zonder wettig verblijf in Europa. Het doel van PICUM is de sociale rechten van deze migranten te promoten.

",NULL,,1,1/21/2009 14:03,
71,,Plan Belgium,,1,Galerij Ravenstein,3B5,1000,Brussel,6,,,www.plan-belgie.org,,"Plan België is een onafhankelijke Belgische ngo, aangesloten bij de internationale koepelorganisatie Plan International. Plan België is een internationale, kindgerichte ontwikkelingsorganisatie die in 46 programmalanden werkt. De belangrijkste doelstelling van Plan is om de levensomstandigheden van kansarme kinderen in ontwikkelingslanden structureel te verbeteren",NULL,NULL,1,1/21/2009 14:08,
72,,Regionaal Welzijnsoverleg Waasland - Werkgroep oud,,1,Slachthuisstraat,74,9100,Sint Niklaas,1,,,www.rwowaasland.be,,"Een organiHet Regionaal Overleg Gehandicaptenzorg (ROG) is een overlegplatform binnen het Regionaal Welzijnsoverleg Waasland, waarin vertegenwoordigers van gebruikers, verwijzers en voorzieningen zetelen. 

Dit forum heeft een belangrijke rol in de bemiddeling, afstemming en planning van het zorgaanbod voor personen met een handicap. Het Vlaams Fonds voor Sociale Integratie voor Personen met een Handicap heeft een adviesbevoegheid toegekend aan de regio’s. 

Tevens wil het ROG fungeren als draaischijf voor sectorale informatie en een signaalfunctie opnemen vanuit de sector t.a.v. het beleid.

satie voor gehandicapten; welzijnsorganisatie.



",NULL,,1,1/21/2009 14:14,
73,,"S-Plus, seniorenvereniging",,1,St-Jansstraat,32,1000,Brussel,6,,,www.s-plusvzw.be,,"S-Plus is een seniorenvereniging van de socialistische beweging, in het bijzonder de socialistische mutualiteiten. Zij willen dat 50-plussers voldoende welzijn en gezondheid verwerven of behouden, maximale ontplooiingskansen krijgen en volwaardig deelnemen aan en geïntegreerd zijn in het maatschappelijk leven. A.d.h.v. deze specifieke doelstellingen wil S-Plus een meer harmonisch samenleven tot stand brengen voor alle leeftijdsgroepen. 

S-Plus realiseert voor en met S-Plus leden (ouderen, bejaarden, vijftigplussers), hun gezinnen en hun vrienden een sociaal-educatief aanbod op individueel en groepsniveau. Om dit te realiseren organiseren ze een soci-culturele afdelingswerking in zoveel mogelijk gemeenten. Ze bieden er ook vorming en informatie aan. Het organisatorisch kader voor dit aanbod is gebundeld in de nationale S-Plus werkingen onder de namen S-Plus afdelingen en groepen, S-Plus seniorenprojecten, de S-Academie, S-Sport en S-Reizen.

Daarnaast treedt S-Plus op als belangenbehartiger (via vorming, informatie, beleidsadviezen, actie en dienstverlening) en drukkingsgroep voor senioren/ouderen. Daartoe onderneemt S-Plus, indien nodig, specifieke mobilisatie-acties en werken ze gedocumenteerde beleidsadviezen uit.",NULL,NULL,1,1/21/2009 14:17,
74,,Scouts en gidsen Vlaanderen,,1,Lange Kievitstraat,74,2018,Antwerpen,1,,,,,Federatie; kinderen en jongeren een nieuwe vrijblijvende vrijetijdsbesteding in de vorm van jeugdbeweging aanbieden.,NULL,,1,1/21/2009 14:22,
75,,Sensoa,,1,Kipdorpvest,48a,2000,Antwerpen,1,,,www.sensoa.be,,"Welzijnsorganisatie - Als service- en expertisecentrum bevordert Sensoa de seksuele gezondheid, met bijzondere aandacht voor de kwaliteit van leven van mensen met HIV en Aids.

Met respect voor diversiteit en persoonlijke integriteit optimaliseert Sensoa keuzemogelijkheden op individueel en maatschappelijk vlak. Sensoa werkt aan het verwezenlijken van een kwaliteitsvol en structureel aanbod vanuit zijn opdracht en binnen Vlaamse, Federale, Europese en internationale samenwerkingsverbanden.

",NULL,,1,1/21/2009 14:35,
76,,Sensoa (2),,1,Kipdorpvest,48a,2000,Antwerpen,1,,,www.sensoa.be,,"Welzijnsorganisatie - Als service- en expertisecentrum bevordert Sensoa de seksuele gezondheid, met bijzondere aandacht voor de kwaliteit van leven van mensen met HIV en Aids.

Met respect voor diversiteit en persoonlijke integriteit optimaliseert Sensoa keuzemogelijkheden op individueel en maatschappelijk vlak. Sensoa werkt aan het verwezenlijken van een kwaliteitsvol en structureel aanbod vanuit zijn opdracht en binnen Vlaamse, Federale, Europese en internationale samenwerkingsverbanden.",NULL,,1,1/21/2009 14:48,
