"idquestionlog","question_idquestion","datecreated","event","description","attachment","manual"
"505","210","2009-01-19 10:00:26","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"506","211","2009-01-19 11:17:02","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"507","211","2009-01-19 11:27:10","Vraag toegewezen aan Wetenschapswinkel Gent door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Gent door Centrale Unit","NULL","0"
"508","211","2009-01-19 11:31:15","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"509","211","2009-01-19 11:41:48","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Gent.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Gent.","NULL","0"
"510","212","2009-01-19 11:41:48","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"511","212","2009-01-19 11:44:20","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"512","212","2009-01-19 11:46:51","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"513","212","2009-01-19 11:50:21","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"514","213","2009-01-20 15:37:50","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"515","214","2009-01-20 15:44:49","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"516","215","2009-01-20 15:46:31","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"517","216","2009-01-20 15:53:29","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"518","217","2009-01-20 16:02:27","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"519","218","2009-01-20 16:03:30","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"520","219","2009-01-20 16:04:12","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"521","220","2009-01-20 16:05:13","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"522","221","2009-01-20 16:06:03","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"523","222","2009-01-20 16:06:48","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"524","223","2009-01-20 16:07:28","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"525","224","2009-01-20 16:08:20","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"526","225","2009-01-20 16:13:39","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"527","226","2009-01-20 16:14:36","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"528","227","2009-01-20 16:17:37","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"529","228","2009-01-20 16:18:30","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"530","229","2009-01-20 16:19:14","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"531","230","2009-01-20 16:20:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"532","231","2009-01-20 16:39:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"533","232","2009-01-20 16:40:00","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"534","233","2009-01-20 16:50:08","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"535","234","2009-01-20 16:55:06","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"536","235","2009-01-20 17:00:06","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"537","236","2009-01-21 09:29:11","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"538","237","2009-01-21 09:30:13","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"539","238","2009-01-21 09:30:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"540","239","2009-01-21 09:37:19","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"541","240","2009-01-21 09:58:19","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"542","241","2009-01-21 09:58:55","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"543","242","2009-01-21 10:05:29","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"544","243","2009-01-21 10:17:13","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"545","244","2009-01-21 10:18:06","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"546","245","2009-01-21 10:19:02","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"547","246","2009-01-21 10:25:36","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"548","247","2009-01-21 10:26:32","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"549","248","2009-01-21 10:36:03","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"550","249","2009-01-21 10:48:07","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"551","250","2009-01-21 10:53:31","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"552","251","2009-01-21 10:58:39","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"553","252","2009-01-21 10:59:29","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"554","253","2009-01-21 11:04:05","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"555","254","2009-01-21 11:15:46","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"556","255","2009-01-21 11:22:03","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"557","256","2009-01-21 11:22:54","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"558","257","2009-01-21 11:23:52","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"559","258","2009-01-21 11:35:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"560","259","2009-01-21 11:35:59","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"561","260","2009-01-21 11:37:03","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"562","261","2009-01-21 11:55:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"563","262","2009-01-21 12:00:01","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"564","263","2009-01-21 12:00:42","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"565","264","2009-01-21 12:16:38","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"566","265","2009-01-21 12:20:54","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"567","266","2009-01-21 12:21:27","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"568","267","2009-01-21 12:25:17","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"569","268","2009-01-21 12:29:37","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"570","269","2009-01-21 12:33:33","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"571","270","2009-01-21 12:37:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"572","271","2009-01-21 12:38:25","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"573","272","2009-01-21 12:39:17","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"574","273","2009-01-21 12:39:51","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"575","274","2009-01-21 12:42:54","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"576","275","2009-01-21 12:43:54","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"577","276","2009-01-21 13:37:35","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"578","277","2009-01-21 13:38:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"579","278","2009-01-21 13:44:43","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"580","279","2009-01-21 13:49:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"581","280","2009-01-21 13:56:02","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"582","281","2009-01-21 14:00:11","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"583","282","2009-01-21 14:05:19","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"584","283","2009-01-21 14:10:25","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"585","284","2009-01-21 14:15:00","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"586","285","2009-01-21 14:15:30","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"587","286","2009-01-21 14:19:24","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"588","287","2009-01-21 14:20:26","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"589","288","2009-01-21 14:23:38","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"590","289","2009-01-21 14:37:11","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"591","290","2009-01-21 14:37:37","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"592","291","2009-01-21 14:38:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"593","292","2009-01-21 14:39:00","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"594","293","2009-01-21 14:39:36","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"595","294","2009-01-21 14:40:18","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"596","295","2009-01-21 14:40:54","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"597","296","2009-01-21 14:41:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"598","297","2009-01-21 14:42:00","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"599","298","2009-01-21 14:42:39","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"600","299","2009-01-21 14:42:39","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"601","300","2009-01-21 14:43:22","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"602","301","2009-01-21 14:43:56","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"603","302","2009-01-21 14:44:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"604","303","2009-01-21 14:45:04","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"605","304","2009-01-21 14:45:45","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"606","305","2009-01-21 14:46:04","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"607","306","2009-01-21 14:49:51","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"608","307","2009-01-21 14:53:55","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"609","308","2009-01-21 14:54:24","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"610","309","2009-01-21 15:13:51","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"611","310","2009-01-21 15:17:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"612","311","2009-01-21 15:22:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"613","312","2009-01-21 15:25:44","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"614","313","2009-01-21 15:36:17","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"615","314","2009-01-21 15:36:33","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"616","315","2009-01-21 15:41:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"617","316","2009-01-21 15:45:34","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"618","317","2009-01-21 15:48:42","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"619","318","2009-01-21 15:52:12","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"620","319","2009-01-21 15:55:26","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"621","320","2009-01-21 15:55:57","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"622","321","2009-01-21 15:56:16","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"623","322","2009-01-21 15:56:47","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"624","323","2009-01-21 16:02:17","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"625","324","2009-01-21 16:06:10","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"626","213","2009-01-21 16:23:08","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"627","324","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"628","323","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"629","322","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"630","321","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"631","320","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"632","319","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"633","318","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"634","317","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"635","316","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"636","315","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"637","314","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"638","313","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"639","312","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"640","311","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"641","310","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"642","309","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"643","308","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"644","307","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"645","306","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"646","305","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"647","304","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"648","303","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"649","302","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"650","301","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"651","300","2009-01-21 16:23:50","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"652","298","2009-01-21 16:23:51","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"653","299","2009-01-21 16:23:51","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"654","297","2009-01-21 16:23:51","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"655","296","2009-01-21 16:23:51","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"656","295","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"657","294","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"658","293","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"659","292","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"660","291","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"661","290","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"662","289","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"663","288","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"664","287","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"665","286","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"666","285","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"667","284","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"668","283","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"669","282","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"670","281","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"671","280","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"672","279","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"673","278","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"674","277","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"675","276","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"676","275","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"677","274","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"678","273","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"679","272","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"680","271","2009-01-21 16:25:22","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
